"id","dc.subject[]"
"6c01a5ca-873f-497f-9d6c-3bd0de16f083","Exhibitions"
"911b443f-58e6-423b-8732-d46fb62a799c","Exhibitions"
"2615fa35-d90d-4648-9dda-ab8fe77fc906","Exhibitions"
"919696f3-6528-4576-8d53-ab151abd18de","Exhibitions||Mammals"
"de362a02-f9c2-482a-a26b-7baeb20e96bc","Exhibitions"
"011ef66e-6a25-459b-8d15-2b716cd70b1e","Exhibitions"
"9cd7ee62-675d-47d1-ac87-34d3f78731fe","Exhibitions"
"005a2124-80b8-4136-b9fa-2a00b9618edd","Exhibitions"
"f5a1baa2-fe74-4a6d-8e99-19963a96a93f","Donkeys||Portraits"
"1d991bb6-e516-4c88-8843-d0e1edb38082","Exhibitions"
"7ac7c6c6-bb9e-4fc2-8b50-796e52c681e6","Amphibians||Exhibitions||Postcards"
"fdc5f867-6dca-4238-9ced-4564a9412299","Entomology Department||Green, John W.||Kessel, Edward Luther, 1904-||Leech, Hugh B.||Ross, Edward Shearman, 1915-||Van Dyke, Edwin Cooper, 1869-1952"
"14765855-ba33-49a9-b1ae-8a105fb704b3","Entomology Department||Invertebrates||Specimens||Van Duzee, Edwin Payson, 1861-1940||Van Dyke, Edwin Cooper, 1869-1952"
"bbfdbc44-14ec-481b-a8fa-73e9ac91b309","Entomology Department||Invertebrates||Leech, Hugh B.||Specimens||Van Dyke, Edwin Cooper, 1869-1952"
"4666f660-0858-4fab-a411-65abe4c6b699","Entomology Department||Invertebrates||Ross, Edward Shearman, 1915-||Specimens"
"dc559884-c40c-4e48-8098-d8d794371e12","Entomology Department||Invertebrates||Ross, Edward Shearman, 1915-||Specimens"
"82734bed-0225-44f9-b7ec-f8bca92b1793","Entomology Department||Invertebrates||Ross, Edward Shearman, 1915-||Specimens"
"1cb6658e-b79c-40e9-b3a4-93044ae8e342","Entomology Department||Invertebrates||Rentz, David Charles, 1942||Specimens"
"12a96a2b-1b6a-45b0-9ee0-6036d0d91421","Davies, Thomas||Entomology Department||Specimens"
"c7e85d98-c218-4e80-b0a7-107f763ada37","Donkeys||Portraits"
"95cea6ed-f35c-4dd8-9f3f-9dba64ead1b0","Arthropoda||Entomology Department||Invertebrates||Specimens"
"c7704d10-93cb-4579-bd70-e0221f320764","Arthropoda||Entomology Department||Green, John W.||Invertebrates||Specimens"
"7280e390-918a-4163-80b6-3d4824d1aee3","Entomology Department||Invertebrates||Leech, Hugh B.||Specimens"
"cc9b4881-63b4-456d-895b-249222282013","Entomology Department||Invertebrates||Ross, Edward Shearman, 1915-||Specimens"
"4f9bb1f9-9786-4e94-90d9-59cb2a0ca215","Arthropoda||Cavagnaro, David||Entomology Department||Events||Invertebrates||Specimens"
"03f92e37-1c2b-4435-9d23-706edb338d9e","Entomology Department||Invertebrates||Rentz, David Charles, 1942||Specimens"
"30330338-d4ae-441e-a488-e44c1fc4925a","Entomology Department||Invertebrates||Ross, Edward Shearman, 1915-"
"833a9726-aa08-4dad-8371-a9a06e12d9d3","Donkeys||Peddlers and peddling||Portraits"
"2fe4be4e-c4eb-46f3-8bd6-0a467b1b6c93","Buildings||Dogs||Donkeys"
"4b8d7c22-4d38-4cfb-a826-f7a10d89dc4a","Cornerstone laying||Market Street Academy, 1891-1906"
"9379760c-5adb-475b-beeb-1923dfdb51fe","Flags||Mammals"
"be1f95ba-94f3-4713-9d77-4fcf6b7f10b8","Portraits||Trees"
"b9c0f7e7-e5ba-4523-b9d5-fac8a3f740dd","Landscapes||Trees"
"43e2a823-4eac-4273-81c0-a5b50932ccf7","San Francisco (Calif.) - Earthquake and fire, 1906"
"8a5bc4a8-25dc-4ac6-99aa-8cfa75620e18","Buildings||Donkeys"
"dc1ddf04-2712-485f-909f-4c81040415aa","San Francisco (Calif.) - Earthquake and fire, 1906"
"677ae662-7134-415b-82f4-9c47a66cf08d","San Francisco (Calif.) - Earthquake and fire, 1906"
"c51b4a72-3c06-4ffc-848f-5a7520c4642e","San Francisco (Calif.) - Earthquake and fire, 1906"
"ac4f8a80-5de1-4b4f-8e1d-b01afba1ab03","Trustees"
"5c0d8c2a-8b68-43be-a236-b1bc389c9707","California Academy of Sciences Buildings||Trustees"
"4924a55b-4963-40bf-9ca6-ab713fa3c22e","Illustrations||Hetherington, Joseph, d. 1856||Randall, Andrew, 1819-1856||San Francisco (Calif.) - 19th century"
"9075e718-cd0f-4104-9965-8d03420fedf9","Lick, James, 1796-1876||Sculpture"
"49c5f0d7-73a1-45f0-91fc-96eb0cb29239","Mary Sachs (Schooner)||Ships"
"2b517795-7464-471d-ad09-afa75f9eeac7","Mary Sachs (Schooner)||Ships"
"ff2c0481-d1b1-4c4a-9ce5-4786b8d06fdb","San Francisco (Calif.) - 19th century"
"2489e6af-7026-407a-a4db-8748961ce832","Donkeys"
"3f0f512b-de98-4d31-bbf2-8ee81e4e33e7","Fences||Mammals||Tule Elk Relocation"
"74eb8aac-8bf2-4433-8fb2-13e74d0fb3fa","Fences||Tule Elk Relocation"
"12856c9f-0383-4380-ad84-d02e2a8678d1","Portraits||Tule Elk Relocation"
"fd62003d-35a4-4eed-81af-1c2de261207c","Clippings (Books, newspapers, etc.)||Golden Gate Park (San Francisco)"
"713b0de6-a179-4f8a-8743-05fb20b072d5","Aerial photographs||California Academy of Sciences Buildings||Golden Gate Park (San Francisco)||Postcards"
"808fe420-ff4b-4761-8da5-92d0c4521690","California Academy of Sciences Buildings||Exterior views||Golden Gate Park (San Francisco)||Postcards||Steinhart Aquarium (San Francisco, Calif.)"
